"Testbed","Hazard","Model_Type","Model_Name","(Intercept)","DRY_BULK","LIQUID_BULK","CONTAINER","WAREHOUSE","AGRI","MINING","UTIL","CONST","MANU","WHOLE","RETAIL","TRANS","INFO","FINANCE","REALE","PROF","MANAGE","ADMIN","EDU","HEALTH","ART","ACCO","OTHER","HS1","HS2","HS3"
"Mobile","hurricane","main_model","totMIGT","-56.5207383308125","-0.762728505986173","-0.519399047607199","-0.316047148445714","-0.424834981275103","0","0","0","-0.0792566885622522","-0.0913803320669493","-0.112903781352632","-0.139990944035544","-0.0623995905499124","-0.101941921402386","-0.0575500280158685","-0.135444334399589","-0.0737222979140087","0","-0.140587357056306","-0.0874116132427721","-0.157724081000392","-0.0309489188205002","-0.20297247867995","-0.0699131087590196","-0.311257216908991","-0.255017579611042","-0.374311030176487"
"Mobile","hurricane","sector_model","MIGT _ HH1W","2.62581123966599","0","-0.00103551987403484","0","-0.00127737663388468","0","0","0","0","-0.000791835949599678","-0.00259653837927899","-0.00183612593466692","-0.000666837476827396","-0.000710714146857246","-0.000459801017776838","0","-0.000863611226072752","0","0","-0.000533142439654654","-0.000219381127755588","-0.000375597618664602","-0.00141892074187733","-0.000466735189421702","-0.0193232196586315","-0.0107673112866659","-0.00262195397385142"
"Mobile","hurricane","sector_model","MIGT _ HH2W","4.93528204591422","-0.00751390573659472","-0.00897037574645211","-0.000823936769045315","-0.00587023381187951","0","0","0","-0.000354648494957261","-0.00183623965677434","-0.00617411980058648","-0.00607413949685996","-0.00178577455034792","-0.00305739692169347","-0.00179684318447142","-0.00396850028001695","-0.00127444004102091","0","-0.00443519854205258","-0.00150866037195394","-0.00428904611760682","-0.00116623327387605","-0.00676560327432472","-0.00208850575092898","-0.0375330991054405","-0.0205692704003427","-0.00200872898950516"
"Mobile","hurricane","sector_model","MIGT _ HH3W","11.1504776195535","-0.0601268373476825","-0.0401902252653575","-0.0154566929894923","-0.0241079072709299","0","0","0","-0.0119162890004583","-0.0104255845254901","-0.0184225714844553","-0.020423476393245","-0.00641898885033715","-0.0145867164012032","-0.00479671725871203","-0.0294406292687523","-0.0109166207867224","0","-0.0173827916479449","-0.0100284534645704","-0.0153636421669902","-0.00239588713755635","-0.0223846974430079","-0.0125577694051355","-0.0835898024351689","-0.0438251871251735","0.0145191741532814"
"Mobile","hurricane","sector_model","MIGT _ HH4W","-34.8637710474862","-0.233043087692006","-0.173796628028657","-0.0824677927170686","-0.137998965199741","0","0","0","-0.0305094054722932","-0.0306426690230306","-0.0321961067020148","-0.0411832627931235","-0.0168787977116167","-0.0184940602921919","-0.0167339347362154","-0.0458114371659264","-0.0213427823477305","0","-0.0343211419681758","-0.0261218617647516","-0.0448211412524277","-0.00870686138221773","-0.0599582846264119","-0.0236565353141952","-0.00720942231828274","-0.0536197507113165","-0.216797928834176"
"Mobile","hurricane","sector_model","MIGT _ HH5W","-1.56361606088157","-0.0548605798648725","-0.034153131800271","-0.020532688151718","-0.0272821015448284","0","-0.00259571775738235","0","-0.00591791516448463","-0.00675141163313491","-0.00863655520329629","-0.00773874195469712","-0.00547460802969306","-0.00669350388075468","-0.00268959274846715","-0.00739059683704442","-0.0102590108372944","0","-0.0065794586424214","-0.00678527106895727","-0.0103521241400955","-0.00286075854151919","-0.010260129441479","-0.00380347384493488","-0.0040304756720387","-0.0134910233526583","-0.0498407858211607"
"Mobile","hurricane","sector_model","MIGT _ HH1B","3.36263575158569","0","-0.00210768282315729","-0.00133936257352298","-0.00322553011670678","0.00289746142269804","0","0","0.000102253487282331","-0.000938609872066945","-0.0027337053196558","-0.00266768420250176","-0.00107855579178778","-0.00165218105125798","-0.000914459322502427","0","-0.00120716006124005","0","-0.00192076091463013","-0.000900979040296641","-0.00100853421132585","-0.000414419104173684","-0.00278494868240803","-0.0005686001852411","-0.0198967110971462","-0.0110553512437108","-0.00243786713773717"
"Mobile","hurricane","sector_model","MIGT _ HH2B","3.88142611981654","-0.0125561223676255","-0.0151559688402599","-0.00557304414844138","-0.0119079695982844","0","0","0","-0.00156499983577939","-0.0020456771486058","-0.00425988161948151","-0.00690580823980178","-0.00221015839284323","-0.00310895672164479","-0.000453804077343466","-0.00247804692754397","-0.000798364528000159","0","-0.0108604246325598","-0.00182882923844207","-0.0113195470489437","-0.000747604635766244","-0.011584331125383","-0.00158385844909744","-0.0334550291714333","-0.0181851523694407","0"
"Mobile","hurricane","sector_model","MIGT _ HH3B","-1.00772126442865","-0.105860343709237","-0.0771941722336486","-0.0486672318553521","-0.0667986458765679","0","0","0","-0.00719771270954856","-0.0124920299809251","-0.0147913623743481","-0.021671162316724","-0.00898488260340865","-0.0143173260945529","-0.00487310040234829","-0.0171699282177148","-0.00744069621736055","0","-0.0207541044287323","-0.0141496600639409","-0.0279457668502192","-0.00398552715235669","-0.0331554519242798","-0.00887472794425863","-0.0788427785006316","-0.0401669281687648","0.0130411634365114"
"Mobile","hurricane","sector_model","MIGT _ HH4B","-40.5750009212539","-0.122672947606103","-0.0894205234652496","-0.0576319657113198","-0.0791679116048968","0","0","0","-0.0111918655137848","-0.0131662308666406","-0.0103219496653768","-0.0167647790594294","-0.00810321096514961","-0.00893852251772252","-0.00773162323724651","-0.0128292816239191","-0.00497220670781825","0","-0.0143360911014946","-0.0137203026373457","-0.0214223084211974","-0.0043262161372211","-0.0286812250290182","-0.00748061154987429","-0.00100638014573438","-0.0213272955922767","-0.0932968652803166"
